date,items,cost_eur,value_eur,pl_eur,pl_pct
2026-09-02,5,455.96,490.99,35.03,7.7
2026-09-03,5,455.96,498.69,42.73,9.4
2026-09-04,4,425.97,486.96,60.99,14.3
2026-09-05,6,765.95,883.56,117.61,15.4
2026-09-06,6,765.95,866.9,100.95,13.2
2026-09-07,6,765.95,866.77,100.82,13.2
2026-09-08,6,765.95,877.17,111.22,14.5
2026-09-09,8,945.84,1151.21,205.37,21.7
2026-09-10,8,945.84,1136.14,190.3,20.1
2026-09-11,8,945.84,1134.57,188.73,20.0
2026-09-12,8,945.84,1131.11,185.27,19.6
2026-09-13,8,945.84,1131.3,185.46,19.6
2026-09-14,8,945.84,1139.87,194.03,20.5
2026-09-15,8,945.84,1139.91,194.07,20.5
2026-09-16,8,945.84,1115.35,169.51,17.9
2026-09-17,6,605.86,747.97,142.11,23.5
2026-09-18,6,605.86,752.66,146.8,24.2
2026-09-19,6,605.86,743.56,137.7,22.7
2026-09-20,6,605.86,743.56,137.7,22.7
2026-09-21,6,605.86,745.37,139.51,23.0
2026-09-22,6,605.86,740.45,134.59,22.2
